#wavelength	intensity

278.6799	2.79792838040603e-06
278.88829	3.2669097773019e-06
279.09669	3.26706654633053e-06
279.3051	3.26721067104465e-06
279.51354	3.26768097630954e-06
279.72199	3.72999193546072e-06
279.93046	3.73034981427348e-06
280.13894	3.73052875368088e-06
280.34745	3.73106557190105e-06
280.55597	4.20011537158578e-06
280.7645	4.20031679664625e-06
280.97306	3.73852300026024e-06
281.18163	3.73870225433639e-06
281.39022	4.20152534701252e-06
281.59883	4.20192819713462e-06
281.80745	4.20212962219509e-06
282.01609	4.20253247231718e-06
282.22475	3.74031554101558e-06
282.43342	3.74049479509274e-06
282.64212	4.20374102268231e-06
282.85083	4.20394244774392e-06
283.05955	3.73483596256579e-06
283.2683	3.73537278260606e-06
283.47706	4.20494957304858e-06
283.68584	4.20535242317067e-06
283.89463	3.73608854266044e-06
284.10345	3.73662536270072e-06
284.31228	3.74336286030086e-06
284.52112	3.74354211437701e-06
284.72999	3.27443469065208e-06
284.93887	3.27459145968071e-06
285.14777	3.27489232369499e-06
285.35668	3.27504909211691e-06
285.56562	4.2085752241474e-06
285.77457	4.20877664920672e-06
285.98353	3.27583293422387e-06
286.19252	3.27630323948876e-06
286.40152	3.27647268801804e-06
286.61054	3.27678622607441e-06
286.81957	2.80692536646339e-06
287.02863	2.80732821658586e-06
287.2377	2.80746249995951e-06
287.44678	2.80759678333316e-06
287.65589	2.80799963345563e-06
287.86501	2.80813391682928e-06
288.07415	3.74891973664403e-06
288.2833	4.21937375799998e-06
288.49248	3.27928183949556e-06
288.70167	2.80907390044711e-06
288.91087	3.27960806858084e-06
289.1201	3.75054571738666e-06
289.32934	3.28023514469358e-06
289.53859	3.28039191372132e-06
289.74787	3.75144199079785e-06
289.95716	4.22221080342469e-06
290.16647	4.69324881092316e-06
290.3758	5.15780249792235e-06
290.58514	5.1580488936843e-06
290.7945	4.69436993480872e-06
291.00388	4.69481838436193e-06
291.21327	5.15928087249826e-06
291.42268	4.21804220201252e-06
291.63211	4.21844505213461e-06
291.84156	5.62513053634227e-06
292.05102	5.62539910308957e-06
292.2605	5.16149843436001e-06
292.47	5.16199122588671e-06
