#Profile 1             Profile 2
#x       y           x       y
#[]     []         []     []
1.0286106e-05  4.1914963e-06            1.031133e-05  4.1880478e-06
1.0365843e-05  4.1914831e-06            1.0391263e-05  4.1868287e-06
1.0445581e-05  4.1917783e-06            1.0471196e-05  4.1864269e-06
1.0525318e-05  4.1927529e-06            1.0551129e-05  4.1873215e-06
1.0605055e-05  4.1931249e-06            1.0631061e-05  4.1900284e-06
1.0684793e-05  4.1941037e-06            1.0710994e-05  4.1924287e-06
1.076453e-05  4.194864e-06            1.0790927e-05  4.1949618e-06
1.0844267e-05  4.1959567e-06            1.087086e-05  4.1905776e-06
1.0924004e-05  4.1966193e-06            1.0950793e-05  4.1876223e-06
1.1003742e-05  4.1973404e-06            1.1030725e-05  4.1923774e-06
1.1083479e-05  4.1976934e-06            1.1110658e-05  4.1953772e-06
1.1163216e-05  4.1980132e-06            1.1190591e-05  4.2002097e-06
1.1242953e-05  4.1983404e-06            1.1270524e-05  4.2036426e-06
1.1322691e-05  4.1989223e-06            1.1350457e-05  4.196712e-06
1.1402428e-05  4.1993672e-06            1.1430389e-05  4.1893144e-06
1.1482165e-05  4.199561e-06            1.1510322e-05  4.1901851e-06
1.1561902e-05  4.2000685e-06            1.1590255e-05  4.1913989e-06
1.164164e-05  4.1999546e-06            1.1670188e-05  4.1858179e-06
1.1721377e-05  4.1919475e-06            1.1750121e-05  4.1805417e-06
1.1801114e-05  4.1482842e-06            1.1830053e-05  4.1669925e-06
1.1880851e-05  4.1126863e-06            1.1909986e-05  4.0811399e-06
1.1960589e-05  4.1029969e-06            1.1989919e-05  4.0673866e-06
1.2040326e-05  4.1029316e-06            1.2069852e-05  4.0956025e-06
1.2120063e-05  4.1043852e-06            1.2149785e-05  4.0966734e-06
1.21998e-05  4.1058654e-06            1.2229717e-05  4.0920972e-06
1.2279538e-05  4.1070109e-06            1.230965e-05  4.093759e-06
1.2359275e-05  4.1077126e-06            1.2389583e-05  4.1048029e-06
1.2439012e-05  4.10799e-06            1.2469516e-05  4.1050679e-06
1.2518749e-05  4.1082515e-06            1.2549449e-05  4.1021555e-06
1.2598487e-05  4.1097392e-06            1.2629381e-05  4.0983346e-06
1.2678224e-05  4.1105997e-06            1.2709314e-05  4.099959e-06
1.2757961e-05  4.1117117e-06            1.2789247e-05  4.1009837e-06
1.2837698e-05  4.1123178e-06            1.286918e-05  4.1016152e-06
1.2917436e-05  4.1133692e-06            1.2949112e-05  4.0999296e-06
1.2997173e-05  4.1145427e-06            1.3029045e-05  4.1014723e-06
1.307691e-05  4.1137473e-06            1.3108978e-05  4.0999221e-06
1.3156647e-05  4.1153822e-06            1.3188911e-05  4.0991646e-06
1.3236385e-05  4.1163107e-06            1.3268844e-05  4.1006299e-06
1.3316122e-05  4.116037e-06            1.3348776e-05  4.1014841e-06
1.3395859e-05  4.1167476e-06            1.3428709e-05  4.1023131e-06
1.3475597e-05  4.1175984e-06            1.3508642e-05  4.1020287e-06
1.3555334e-05  4.1180267e-06            1.3588575e-05  4.1027038e-06
1.3635071e-05  4.1186626e-06            1.3668508e-05  4.1047266e-06
1.3714808e-05  4.1198082e-06            1.374844e-05  4.1078782e-06
1.3794546e-05  4.1208734e-06            1.3828373e-05  4.1089843e-06
1.3874283e-05  4.1213079e-06            1.3908306e-05  4.1084436e-06
1.395402e-05  4.1217799e-06            1.3988239e-05  4.1095293e-06
1.4033757e-05  4.1224761e-06            1.4068172e-05  4.1082479e-06
1.4113495e-05  4.1225823e-06            1.4148104e-05  4.1089907e-06
1.4193232e-05  4.1224411e-06            1.4228037e-05  4.11141e-06
