#Profile 1             Profile 2
#x       y           x       y
#[]     []         []     []
1.1148964e-05  4.1053667e-06            1.0912878e-05  4.0698324e-06
1.1236751e-05  4.1223604e-06            1.0998806e-05  4.0612281e-06
1.1324538e-05  4.143777e-06            1.1084734e-05  4.0667152e-06
1.1412325e-05  4.1737865e-06            1.1170663e-05  4.0632166e-06
1.1500113e-05  4.1996009e-06            1.1256591e-05  4.0532809e-06
1.15879e-05  4.2015565e-06            1.1342519e-05  4.0726409e-06
1.1675687e-05  4.2014922e-06            1.1428447e-05  4.0646967e-06
1.1763474e-05  4.20207e-06            1.1514375e-05  4.0700534e-06
1.1851261e-05  4.2027272e-06            1.1600303e-05  4.0700977e-06
1.1939048e-05  4.2033893e-06            1.1686232e-05  4.0707133e-06
1.2026835e-05  4.2036683e-06            1.177216e-05  4.0537704e-06
1.2114622e-05  4.20408e-06            1.1858088e-05  4.0517923e-06
1.220241e-05  4.205377e-06            1.1944016e-05  4.0562813e-06
1.2290197e-05  4.2059008e-06            1.2029944e-05  4.0568885e-06
1.2377984e-05  4.2072476e-06            1.2115873e-05  4.0606678e-06
1.2465771e-05  4.2073159e-06            1.2201801e-05  4.0675611e-06
1.2553558e-05  4.2079574e-06            1.2287729e-05  4.0643061e-06
1.2641345e-05  4.2085927e-06            1.2373657e-05  4.0734373e-06
1.2729132e-05  4.2091656e-06            1.2459585e-05  4.0620094e-06
1.2816919e-05  4.2101239e-06            1.2545513e-05  4.1022763e-06
1.2904706e-05  4.2097325e-06            1.2631442e-05  4.2123373e-06
1.2992494e-05  4.2093774e-06            1.271737e-05  4.1806542e-06
1.3080281e-05  4.2098317e-06            1.2803298e-05  4.161012e-06
1.3168068e-05  4.2106858e-06            1.2889226e-05  4.1493603e-06
1.3255855e-05  4.2110013e-06            1.2975154e-05  4.1718945e-06
1.3343642e-05  4.2108949e-06            1.3061082e-05  4.1644218e-06
1.3431429e-05  4.2101194e-06            1.3147011e-05  4.1591589e-06
1.3519216e-05  4.210774e-06            1.3232939e-05  4.156525e-06
1.3607003e-05  4.2116504e-06            1.3318867e-05  4.1669414e-06
1.3694791e-05  4.2119799e-06            1.3404795e-05  4.1417837e-06
1.3782578e-05  4.2123447e-06            1.3490723e-05  4.1394683e-06
1.3870365e-05  4.2121533e-06            1.3576651e-05  4.1466279e-06
1.3958152e-05  4.2125758e-06            1.366258e-05  4.1568927e-06
1.4045939e-05  4.2028512e-06            1.3748508e-05  4.1522131e-06
1.4133726e-05  4.183402e-06            1.3834436e-05  4.1471191e-06
1.4221513e-05  4.1275534e-06            1.3920364e-05  4.1380564e-06
1.43093e-05  4.115679e-06            1.4006292e-05  4.1429007e-06
1.4397087e-05  4.1175222e-06            1.4092221e-05  4.1478294e-06
1.4484875e-05  4.1187204e-06            1.4178149e-05  4.1358693e-06
1.4572662e-05  4.1198073e-06            1.4264077e-05  4.1327663e-06
1.4660449e-05  4.1208706e-06            1.4350005e-05  4.1329423e-06
1.4748236e-05  4.1226698e-06            1.4435933e-05  4.1354127e-06
1.4836023e-05  4.1240205e-06            1.4521861e-05  4.1352747e-06
1.492381e-05  4.124504e-06            1.460779e-05  4.1405157e-06
1.5011597e-05  4.1253005e-06            1.4693718e-05  4.1291066e-06
1.5099384e-05  4.1276264e-06            1.4779646e-05  4.1231073e-06
1.5187172e-05  4.1281052e-06            1.4865574e-05  4.1191619e-06
1.5274959e-05  4.128799e-06            1.4951502e-05  4.123278e-06
